year,disasterno
2011,2011-0525
2000,2000-0422
2004,2004-0331
2007,2007-0263
2010,2010-0294
2000,2000-0269
2008,2008-0006
2006,2005-0713
2014,2014-0029
2017,2017-0010
2003,2003-0391
2005,2005-0655
2005,2005-0713
2012,2012-0050
2006,2006-0383
2012,2012-0019
2015,2015-0410
2000,2000-0416
2001,2001-0482
2007,2007-0263
2010,2010-0294
1975,1975-0039
1994,1994-0160
2004,2004-0333
2004,2004-0331
1998,1998-0395
2000,2000-0029
2000,2000-0382
2006,2005-0713
2007,2007-0235
1971,1971-0044
2006,2006-0045
1993,1993-0190
1994,1994-0312
1995,1995-0322
1996,1996-0128
1996,1996-0297
1996,1996-0138
1997,1997-0122
1998,1998-0171
1999,1999-0197
2000,2000-0326
2002,2002-0508
2002,2002-0361
2004,2004-0293
2006,2006-0357
2010,2010-0129
2010,2010-0216
2012,2012-0563
2012,2012-0067
1965,1965-0065
1972,1972-0018
1973,1973-0029
1973,1973-0030
1974,1974-0031
1974,1974-0048
1976,1976-0036
1977,1977-0069
1987,1987-0167
1991,1991-0326
2015,2015-0054
1993,1993-0491
1993,1993-0492
1996,1996-0084
1999,1999-0612
1999,1999-0106
2015,2015-0059
2015,2015-0058
1967,1967-0082
1968,1968-0035
1989,1989-0175
2001,2001-0709
2010,2010-0199
2017,2017-0340
2009,2009-0223
1966,1966-0043
1971,1971-0019
1976,1976-0025
1983,1983-0073
1987,1987-0082
1993,1993-0014
1993,1993-0586
2017,2017-0026
2011,2011-0278
2013,2013-0120
1988,1988-0265
1993,1993-0334
2018,2018-0180
2018,2018-0328
1961,1961-0058
1970,1970-0027
1970,1970-0016
1982,1982-0302
1982,1982-0305
1983,1983-0342
1983,1983-0344
1990,1990-0004
1998,1998-0038
2018,2018-0189
2000,2000-0216
1987,1987-0569
1998,1998-0116
1998,1998-0427
1998,1998-0275
2003,2003-0191
2018,2018-0242
2005,2005-0368
2008,2008-0247
2010,2010-0459
2016,2016-0318
2017,2017-0190
1989,1989-0217
1973,1973-0039
1972,1972-0038
1979,1979-0206
1982,1982-0276
1974,1974-0060
1995,1995-0024
1995,1995-0259
1993,1993-0344
1968,1968-0074
1979,1979-0079
1980,1980-0055
1983,1983-0117
1986,1986-0294
1986,1986-0134
1988,1988-0293
1988,1988-0125
1990,1990-0406
1993,1993-0208
1995,1995-0006
1995,1995-0118
1996,1996-0208
1997,1997-0165
1965,1965-0048
1998,1998-0439
1998,1998-0253
1998,1998-0262
1998,1998-0061
1998,1998-0178
1984,1984-0006
2003,2003-0151
2005,2005-0090
2008,2008-0062
2010,2010-0052
2016,2016-0195
2016,2016-0049
1979,1979-0262
1980,1980-0105
1981,1981-0096
1982,1982-0067
1982,1982-0023
1988,1988-0080
1991,1991-0010
1996,1996-0222
1999,1999-0007
1999,1999-0589
2016,2016-0482
2005,2005-0487
1996,1996-0225
2010,2010-0533
1997,1997-0153
2015,2015-0181
1975,1975-0026
2017,2017-0102
1970,1970-0014
1990,1990-0321
1970,1970-0071
1960,1960-0059
1982,1982-0298
1975,1975-0025
1982,1982-0132
1983,1983-0368
1987,1987-0597
1996,1996-0177
1998,1998-0119
1974,1974-0021
1986,1986-0395
1993,1993-0169
1999,1999-0050
1993,1993-0185
1993,1993-0192
1998,1998-0254
2009,2009-0275
2009,2009-0276
2014,2014-0271
2002,2002-0248
2007,2007-0356
2008,2008-0513
2010,2010-0186
1976,1976-0053
1993,1993-0197
1994,1994-0038
1994,1994-0303
2017,2017-0146
1995,1995-0142
1996,1996-0197
1969,1969-0105
1983,1983-0107
1997,1997-0138
1998,1998-0001
2008,2008-0568
2010,2010-0496
2017,2017-0466
1982,1982-0045
2018,2018-0039
2005,2005-0533
2018,2018-0240
1970,1970-0052
2011,2011-0586
1975,1975-0044
1976,1976-0040
1988,1988-0381
1989,1989-0463
1993,1993-0186
1995,1995-0278
2015,2015-0411
2014,2014-0124
1979,1979-0181
1988,1988-0523
1983,1983-0053
1991,1991-0027
1992,1992-0187
1993,1993-0017
1993,1993-0018
1996,1996-0348
1998,1998-0064
1995,1995-0050
2007,2007-0007
2010,2010-0012
2012,2012-0511
2012,2012-0084
1996,1996-0065
1979,1979-0261
1991,1991-0059
1996,1996-0280
2003,2003-0208
2006,2006-0059
2012,2012-0052
1998,1998-0030
1971,1971-0020
1974,1974-0022
1981,1981-0115
1982,1982-0040
1983,1983-0005
1984,1984-0026
1985,1985-0237
1985,1985-0239
1987,1987-0225
1988,1988-0101
1990,1990-0336
1995,1995-0329
1998,1998-0014
1998,1998-0039
1999,1999-0563
2001,2001-0604
1978,1978-0169
1988,1988-0559
1988,1988-0558
1989,1989-0154
1989,1989-0193
1993,1993-0295
1994,1994-0211
1994,1994-0021
1996,1996-0372
1999,1999-0172
1999,1999-0732
2000,2000-0414
2006,2006-0087
2006,2006-0096
2006,2006-0439
2008,2008-0393
2009,2009-0192
2011,2011-0141
2011,2011-0244
2012,2012-0002
1966,1966-0019
1992,1992-0475
1993,1993-0111
1995,1995-0239
1996,1996-0294
2000,2000-0164
2000,2000-0457
1967,1967-0028
2002,2002-0602
2005,2005-0025
1980,1980-0365
1974,1974-0024
2017,2017-0343
1996,1996-0275
1996,1996-0178
1974,1974-0053
1993,1993-0216
2014,2014-0434
1977,1977-0139
1965,1965-0051
1968,1968-0027
1975,1975-0024
2000,2000-0672
2002,2002-0743
1986,1986-0066
1992,1992-0199
1993,1993-0023
1997,1997-0277
1989,1989-0439
1998,1998-0056
2003,2003-0189
2005,2005-0063
2007,2007-0617
2015,2015-0119
2017,2017-0034
2004,2004-0588
1976,1976-0170
1980,1980-0353
1988,1988-0273
1989,1989-0446
1995,1995-0147
2009,2009-0507
2010,2010-0438
2013,2013-0016
2018,2018-0272
1997,1997-0280
1991,1991-0478
2018,2018-0423
1972,1972-0011
1981,1981-0044
1987,1987-0156
1994,1994-0340
1992,1992-0313
1994,1994-0187
1995,1995-0092
2010,2010-0070
1995,1995-0028
1998,1998-0437
1996,1996-0028
1996,1996-0077
1996,1996-0080
1999,1999-0190
2000,2000-0466
1965,1965-0070
1979,1979-0247
1987,1987-0217
1991,1991-0249
1982,1982-0069
1985,1985-0026
1987,1987-0150
1988,1988-0309
1988,1988-0307
1991,1991-0226
1969,1969-9007
1981,1981-9309
2003,2003-9651
2008,2008-9640
2011,2010-9082
1998,1998-9346
2002,2002-9398
1994,1994-9223
2001,2001-9525
2002,2002-9485
2005,2005-9206
2016,2016-9225
1989,1989-9145
2012,2012-9628
1984,1984-9211
1988,1988-9638
2001,2001-9152
2017,2017-9342
2004,2004-9480
1978,1978-9008
1979,1979-9004
1983,1983-9019
1985,1985-9211
1988,1988-9237
1990,1990-0036
2012,2012-9065
1991,1991-9305
1992,1992-9090
1992,1992-0300
1994,1994-9186
1997,1997-9557
2017,2017-9207
2000,2000-9267
2000,2000-9531
2000,2000-9626
2001,2001-9149
2001,2001-9218
2002,2002-9203
2002,2002-9564
2002,2002-9854
2003,2003-9064
2003,2003-9360
2005,2005-9745
2005,2005-9746
2006,2006-9741
2008,2008-9662
2009,2009-9655
2010,2010-9701
2013,2013-9062
2014,2014-9408
2015,2015-9328
2016,2016-9369
2017,2017-9206
1983,1983-0100
2003,2003-9785
1993,1993-0233
2015,2015-9372
1981,1981-9121
1978,1978-9125
2009,2009-9055
1984,1983-9060
1973,1973-9004
1998,1998-9216
2015,2014-9580
2003,2003-9784
1998,1998-9210
2000,2000-9496
2004,2004-9332
2015,2015-9372
2000,2000-9173
1980,1980-9005
2018,2018-9075
2001,1999-9388
2005,2005-9213
2008,2008-9303
2000,2000-9495
2009,2009-9415
1993,1993-0345
2008,2008-0394
2001,2001-9383
1974,1974-9100
2009,2009-9415
2015,2014-9580
2018,2018-9277
1999,1999-9388
2008,2008-9200
1976,1976-9126
1991,1991-0085
2003,2003-9772
2000,2000-9186
2008,2008-9200
2009,2009-9615
2011,2010-9082
2012,2011-9663
2015,2015-9545
1998,1998-9324
1978,1978-9200
1982,1982-9303
1989,1989-9595
2002,2002-9535
1981,1981-9188
2012,2012-9245
2015,2015-9575
2000,2000-9495
2010,2010-9077
1987,1987-9588
1991,1991-0046
2001,2001-9383
1992,1992-9543
2009,2009-9415
2012,2012-9355
2014,2014-9277
2002,2002-9611
2002,2002-9332
2006,2006-9233
1997,1997-9074
2010,2010-9077
1993,1993-9561
2014,2014-9102
1965,1965-9032
2018,2018-9258
1997,1997-9305
2001,2001-9383
2004,2004-9363
2009,2009-9559
2012,2012-9379
2000,2000-9495
2003,2003-9784
1964,1964-9009
1964,1964-9044
2006,2006-9570
1979,1979-9270
1987,1987-9024
1993,1993-9472
1996,1996-9328
2002,2002-9349
2012,2012-0049
2015,2015-9618
1966,1966-9004
1972,1972-9131
1982,1982-9007
1984,1984-9013
2009,2009-9323
1986,1986-9128
1987,1987-9027
1987,1987-0094
2010,2010-9077
1997,1997-9244
1983,1980-9114
1999,1999-9122
1969,1969-9068
1977,1977-9005
2002,2002-9298
2012,2012-9290
2000,2000-9138
2014,2014-9469
1983,1983-9007
1977,1977-9055
2008,2008-9475
2000,2000-9327
1979,1979-9177
1988,1988-9449
2014,2014-9404
2016,2016-9452
1990,1990-9059
2001,2001-9398
2012,2012-9222
2015,2015-9257
2017,2017-9273
2009,2009-9661
1994,1994-9692
1983,1983-0455
2002,2002-9333
2007,2007-9494
2011,2011-9629
2016,2016-9050
1982,1982-0136
2006,2006-9411
1981,1981-9012
2004,2004-9576
1992,1992-9231
2002,2002-9124
2007,2007-9499
2012,2012-9304
2008,2008-9661
1993,1993-0227
1998,1998-9062
2014,2014-9429
1966,1966-9005
2005,2005-9142
2010,2010-9253
2006,2006-9425
2010,2010-9249
2011,2011-9661
1965,1965-9001
2013,2013-9369
1993,1993-9511
1997,1997-9100
2001,2001-9409
2011,2011-9662
2017,2017-9343
2014,2014-9457
1988,1988-9181
1995,1995-9119
1999,1999-9171
2011,2011-9312
2016,2016-9435
2002,2002-9292
2011,2011-9363
1998,1998-9087
2016,2016-9495
2000,2000-9318
2007,2007-9677
2012,2012-9478
2000,2000-9537
1988,1988-0094
1999,1999-9212
1979,1979-9118
2003,2003-9784
1981,1981-9016
1987,1987-9154
1998,1998-9620
2001,2001-9048
2002,2001-9122
2005,2005-9262
2007,2007-9343
2008,2008-9590
2010,2010-9290
1991,1990-9604
2002,2002-9022
2013,2013-9146
2015,2015-9505
1963,1963-0018
1964,1964-9007
1967,1967-9006
2006,2006-9723
2009,2009-9660
2013,2013-9203
2000,2000-9860
2001,2001-9383
2014,2014-9580
1988,1988-9003
2005,2005-9362
2009,2009-9651
2015,2015-9166
1988,1988-0138
1983,1983-9331
2013,2013-9185
2015,2015-9353
1980,1980-9363
1988,1988-0415
1997,1997-9263
1999,1999-9404
2005,2005-9734
2009,2009-9210
2012,2012-9021
2013,2013-9496
2016,2016-9249
1962,1962-0002
1966,1966-9007
1983,1983-9007
1985,1985-0071
1990,1990-9059
2002,2002-9843
2004,2004-9063
2006,2006-9016
1983,1983-9206
1978,1978-9167
1980,1980-9364
1980,1980-0314
1983,1983-9016
1985,1985-0125
1985,1985-9011
2000,2000-0763
2002,2002-9164
1987,1987-9103
2007,2007-9347
2015,2015-9364
1988,1988-9064
1983,1983-9378
2000,2000-9328
1998,1998-9197
2003,2003-9777
2010,2010-9318
2012,2012-9395
1989,1989-9241
1996,1996-9089
1998,1998-9114
2010,2010-9077
1979,1979-9122
2001,2001-9394
2002,2002-9487
1997,1997-9300
1998,1998-9223
2015,2015-9483
1964,1964-9066
1969,1969-9009
2002,2002-9605
1987,1987-9014
1988,1988-9008
2004,2004-9085
2005,2005-9722
2010,2010-9082
2012,2011-9663
2004,2004-9705
2015,2015-9616
1991,1990-9604
1995,1995-9436
2004,2004-9017
2015,2015-9500
2016,2016-9065
1990,1990-9025
1999,1999-9149
2007,2007-9514
2001,2001-9498
2012,2012-9405
2014,2014-9393
2010,2010-9556
2016,2016-9529
1983,1983-9060
1987,1987-9174
1996,1996-9220
2000,1999-9388
2012,2011-9663
2015,2015-9373
2012,2012-9607
2007,2007-9288
2016,2016-9291
2017,2017-0350
2008,2008-9755
2014,2014-9025
2008,2008-9456
1967,1967-9005
1977,1977-9022
1988,1988-9408
1996,1996-9326
2003,2003-9651
2004,2004-9577
2006,2006-9756
2002,2002-9158
2005,2005-9153
2008,2008-9154
2010,2010-9132
2011,2011-9207
2000,2000-9788
2012,2012-9109
2014,2014-9428
2007,2007-9650
2016,2016-9119
2015,2015-9483
2010,2010-9077
1992,1992-0010
2011,2011-9390
1969,1969-9006
1991,1991-9476
1991,1991-9523
1999,1999-9358
2000,2000-9339
2000,2000-9712
2002,2002-9853
2007,2007-9548
2011,2011-9363
2012,2012-9235
2012,2012-9489
2015,2015-9210
1999,1999-9085
2018,2018-9103
2000,2000-9494
2009,2009-9415
1997,1997-9525
2002,2002-9132
2005,2005-9277
2015,2015-9617
1982,1981-9309
1983,1983-9200
1995,1995-9268
1982,1981-9309
1998,1998-9361
2007,2007-9675
2010,2010-9181
2013,2013-9478
2001,2001-9044
2011,2011-9524
2014,2014-9196
2015,2015-0581
2015,2015-0090
2015,2015-0606
2015,2015-0446
2015,2015-0446
2015,2015-0313
2015,2015-0600
2015,2015-0333
2015,2015-0374
2015,2015-0604
2015,2015-0076
2015,2015-0056
2015,2015-0127
2015,2015-0485
2015,2015-0525
2015,2015-0427
2015,2015-0261
2015,2015-0371
2015,2015-0456
2015,2015-0458
2015,2015-0324
2015,2015-0391
2015,2015-0427
2015,2015-0318
2015,2015-0308
2015,2015-0206
2015,2015-0446
2015,2015-0368
2015,2015-0448
2015,2015-0576
2015,2015-0339
2015,2015-0035
2015,2015-0288
2015,2015-0291
2015,2015-0479
2015,2015-0097
2015,2015-0093
2015,2015-0310
2015,2015-0244
2015,2015-0284
2015,2015-0371
2015,2015-0490
2015,2015-0462
2015,2015-0543
2015,2015-0263
2015,2015-0532
2015,2015-0203
2015,2015-0507
2015,2015-0544
2015,2015-0477
2015,2015-0494
2015,2015-0601
2015,2015-0530
2015,2015-0392
2015,2015-0002
2015,2015-0427
2015,2015-0244
2015,2015-0339
2015,2015-0458
2015,2015-0038
2015,2015-0390
2015,2015-0073
2015,2015-0155
2015,2015-0211
2015,2015-0245
2015,2015-0326
2015,2015-0431
2015,2015-0511
2015,2015-0459
2015,2015-0531
2015,2015-0565
2015,2015-0363
2015,2015-0498
2015,2015-0551
2015,2015-0484
2015,2015-0030
2015,2015-0285
2015,2015-0489
2015,2015-0551
2015,2015-0038
2015,2015-0473
2015,2015-0620
2015,2015-0204
2015,2015-0338
2015,2015-0131
2015,2015-0132
2015,2015-0105
2015,2015-0160
2015,2015-0162
2015,2015-0163
2015,2015-0214
2015,2015-0219
2015,2015-0247
2015,2015-0251
2015,2015-0437
2015,2015-0334
2015,2015-0395
2015,2015-0339
2015,2015-0397
2015,2015-0457
2015,2015-0458
2015,2015-0482
2015,2015-0490
2015,2015-0491
2015,2015-0533
2015,2015-0534
2015,2015-0549
2015,2015-0536
2015,2015-0075
2015,2015-0465
2015,2015-0375
2015,2015-0446
2015,2015-0605
2018,2018-9372
2018,2018-0473
2018,2018-0483
2018,2018-0166
2018,2018-0121
2018,2018-0471
2018,2018-0480
2018,2018-0309
2018,2018-0164
2018,2018-0406
2018,2018-0314
2018,2018-0485
2018,2018-0347
2018,2018-0455
2018,2018-0376
2018,2018-0218
2018,2018-0390
2018,2018-0165
2018,2018-0469
2018,2018-0133
2018,2018-0467
2018,2018-0221
2018,2018-0388
2018,2018-0130
2018,2018-0331
2018,2018-0457
2018,2018-0484
2018,2018-0448
2018,2018-0479
2018,2018-0160
2018,2018-0366
2018,2018-0053
2018,2018-0159
2018,2018-0211
2018,2018-0285
2018,2018-0287
2018,2018-0347
2018,2018-0348
2018,2018-0474
2018,2018-0218
2018,2018-0280
2018,2018-0162
2018,2018-0157
1972,1972-0030
1964,1964-0039
1966,1966-0047
1981,1981-0079
1962,1962-0003
1974,1974-0043
1967,1967-0016
1988,1988-0308
1971,1971-0022
2009,2009-9633
1990,1990-9289
1969,1969-9069
2015,2015-0375
